Wall time,Step,Value
1677208633.3228695,9,134.24417114257812
1677208633.596842,36,39.26901626586914
1677208633.6877136,45,34.367984771728516
1677208634.2580197,99,27.204345703125
1677208634.345806,108,30.458690643310547
1677208634.6335552,135,22.08759880065918
1677208634.7306838,144,21.970909118652344
1677208635.0267007,171,17.115646362304688
1677208635.1209,180,14.429625511169434
1677208635.2162263,189,12.431941032409668
1677208635.419653,207,9.421112060546875
1677208635.5262835,216,9.980056762695312
1677208635.825208,243,22.05213165283203
1677208635.9200783,252,24.0394287109375
1677208636.098188,270,13.382589340209961
1677208636.6453848,306,6.5550312995910645
1677208637.0098152,333,11.020431518554688
1677208637.1052194,342,9.583807945251465
1677208637.2060583,351,8.590171813964844
1677208637.2951758,360,6.697858810424805
1677208637.3860216,369,9.826167106628418
1677208638.0483665,432,6.2576422691345215
1677208638.1415958,441,7.4992194175720215
1677208638.2399087,450,7.343301773071289
1677208638.4268017,468,8.819005012512207
1677208638.5217214,477,7.6254730224609375
1677208638.6994314,495,6.071710109710693
1677208638.9568102,504,7.303985118865967
1677208639.1461596,522,6.735925197601318
1677208639.4312155,549,5.289024829864502
1677208639.5298097,558,5.370821952819824
1677208639.6307151,567,7.0099592208862305
1677208639.724446,576,7.579506874084473
1677208639.9209828,594,5.989719867706299
1677208640.0212727,603,5.142733097076416
1677208640.1194787,612,5.474175930023193
1677208640.2215223,621,5.740663051605225
1677208640.4304054,639,5.102954387664795
1677208640.5363376,648,5.12485408782959
1677208641.158594,702,6.067325115203857
1677208641.3664718,720,8.34081745147705
1677208641.4632776,729,5.368116855621338
1677208641.6862457,747,4.925382614135742
1677208641.7889967,756,5.781846046447754
1677208641.979948,774,5.038018703460693
1677208642.0728967,783,5.588681221008301
1677208642.3713374,810,5.294239521026611
1677208642.4731975,819,5.545156478881836
1677208642.9477699,864,6.610376834869385
1677208643.3505144,900,5.193879127502441
1677208643.4620895,909,5.036580562591553
1677208643.7987204,936,6.1425557136535645
1677208644.0921555,963,4.808610439300537
1677208644.1947324,972,5.318964004516602
1677208644.3697498,990,5.438851356506348
1677208644.4677496,999,6.94469690322876
1677208644.8460615,1035,4.810339450836182
1677208645.0260227,1053,4.623817443847656
1677208645.4903996,1098,4.9018731117248535
1677208645.8402982,1134,5.562145709991455
1677208645.9282897,1143,4.87435245513916
1677208646.100379,1161,4.92478609085083
1677208646.2743285,1179,5.203534126281738
1677208646.3654149,1188,5.602590084075928
1677208646.4668431,1197,5.583767414093018
1677208646.6565032,1215,4.4946794509887695
1677208646.82753,1233,4.169318675994873
1677208646.9151452,1242,4.351421356201172
1677208647.4357433,1296,4.581040382385254
1677208647.5239496,1305,4.624000072479248
1677208647.712701,1323,4.894245147705078
1677208647.8034024,1332,4.698855400085449
1677208648.0611546,1359,4.14586877822876
1677208648.7047393,1422,4.267854690551758
1677208649.0044084,1440,4.101423740386963
1677208649.1651268,1449,3.9354543685913086
1677208649.5265174,1467,4.893314838409424
1677208650.2931385,1485,4.187387466430664
1677208650.6875746,1503,5.104674816131592
1677208651.1813953,1539,3.832902669906616
1677208651.2641592,1548,3.8488550186157227
1677208651.3523958,1557,3.792626142501831
1677208651.649175,1584,3.9810032844543457
1677208651.7459304,1593,4.060261249542236
1677208651.8392394,1602,3.8531556129455566
1677208651.9230692,1611,4.601039886474609
1677208652.0895698,1629,4.42869234085083
1677208652.1715343,1638,4.686233997344971
1677208652.4288373,1665,4.264775276184082
1677208652.511764,1674,4.2220778465271
1677208652.6036448,1683,3.7208690643310547
1677208652.88008,1710,3.5825982093811035
1677208652.9706087,1719,3.7596609592437744
1677208653.0551496,1728,4.025567531585693
1677208653.1363358,1737,4.123797416687012
1677208653.3809195,1764,4.118007659912109
1677208653.6457508,1791,3.6834607124328613
1677208653.7374883,1800,4.039638996124268
1677208653.8426049,1809,3.8017578125
1677208654.0545413,1827,4.2000298500061035
1677208654.147152,1836,5.695987224578857
1677208654.2417,1845,4.909193515777588
1677208654.3437169,1854,3.8374722003936768
1677208654.5570762,1872,5.165194511413574
1677208654.7556581,1890,3.6758673191070557
1677208654.9289994,1908,3.6215131282806396
1677208655.1205344,1926,3.3235082626342773
1677208655.3312814,1944,3.697597026824951
1677208655.4330742,1953,3.901820182800293
1677208655.6207733,1971,4.678282737731934
1677208655.7200246,1980,4.193378925323486
1677208655.822269,1989,4.081822872161865
1677208655.9171882,1998,3.718883514404297
1677208656.0197244,2007,3.7709603309631348
1677208656.2092454,2025,3.3691859245300293
1677208656.305814,2034,4.25105619430542
1677208656.7315717,2070,3.6476216316223145
1677208657.0276773,2097,3.4666759967803955
1677208657.3352137,2124,3.911473512649536
1677208657.5419004,2142,4.05789852142334
1677208657.6384206,2151,4.512087345123291
1677208657.735569,2160,5.0956807136535645
1677208657.9307618,2178,4.87420654296875
1677208658.0317194,2187,3.7820119857788086
1677208658.206696,2205,3.2196359634399414
1677208658.2964144,2214,3.1565101146698
1677208658.401228,2223,3.5573065280914307
1677208658.491435,2232,4.074286937713623
1677208658.9945154,2277,3.199504852294922
1677208659.082008,2286,3.504408597946167
1677208659.1638522,2295,3.3464879989624023
1677208659.4313176,2322,3.4259564876556396
1677208659.5272205,2331,4.756291389465332
1677208659.622229,2340,4.649806976318359
1677208659.7080383,2349,5.8256940841674805
1677208659.8828914,2367,4.244013786315918
1677208660.586904,2439,4.153255462646484
1677208660.6718073,2448,4.485124588012695
1677208661.140876,2475,3.662590503692627
1677208661.2415197,2484,4.513814449310303
1677208661.3441515,2493,4.914768695831299
1677208661.5392597,2511,3.0689637660980225
1677208661.7550454,2529,3.9761388301849365
1677208661.9649198,2547,3.595792055130005
1677208662.0648642,2556,3.9921436309814453
1677208662.261003,2574,3.723546266555786
1677208662.459758,2592,3.058847188949585
1677208662.5584996,2601,3.1525704860687256
1677208662.7442415,2619,3.820120334625244
1677208663.183067,2664,3.56398606300354
1677208663.2743032,2673,3.374742031097412
1677208663.3631616,2682,3.314208507537842
1677208663.455014,2691,3.1010396480560303
1677208663.549723,2700,3.146235227584839
1677208663.9912746,2745,2.977832794189453
1677208664.1654694,2763,3.4571008682250977
1677208664.2561877,2772,2.9063572883605957
1677208664.3502452,2781,3.594467878341675
1677208664.4393682,2790,2.989382028579712
1677208664.7217114,2817,3.0837807655334473
1677208664.8201718,2826,4.05690860748291
1677208665.0868547,2853,4.343573093414307
1677208665.2685654,2871,2.926435947418213
1677208665.3626723,2880,2.9042673110961914
1677208665.6332352,2907,3.2346529960632324
1677208665.8110495,2925,4.03313684463501
1677208666.2532766,2970,3.152090072631836
1677208666.3484423,2979,2.9214072227478027
1677208666.4413457,2988,3.1517493724823
1677208666.5309002,2997,2.8909621238708496
1677208666.6210601,3006,2.9229907989501953
1677208666.9650352,3042,3.397738218307495
1677208667.0502973,3051,2.8611834049224854
1677208667.2209802,3069,3.1497130393981934
1677208667.4932537,3096,3.3561770915985107
1677208667.5811622,3105,2.9832780361175537
1677208667.6745784,3114,2.960075855255127
1677208667.758824,3123,3.091846227645874
1677208667.944942,3141,4.517286777496338
1677208668.1136694,3159,2.6716408729553223
1677208668.2898118,3177,3.246903896331787
1677208668.375275,3186,5.055725574493408
1677208668.4739325,3195,3.7002155780792236
1677208668.5841467,3204,4.114367961883545
1677208668.8668785,3231,2.9164440631866455
1677208669.0648005,3249,3.0206491947174072
1677208669.2604847,3267,3.040708541870117
1677208669.3593335,3276,2.8144047260284424
1677208669.4486647,3285,3.1485867500305176
1677208669.5607562,3294,3.448544979095459
1677208669.658475,3303,3.1771583557128906
1677208669.7549198,3312,3.4849283695220947
1677208669.8587527,3321,3.649357318878174
1677208670.478682,3375,2.654588222503662
1677208670.8049338,3402,2.9342567920684814
1677208670.911319,3411,2.7503607273101807
